"scraped_at","cluster_code","clean_list_name","work_order_number","route","scope","phase","route_summary_status","astri_type","astri_label","derived_status","file_count","upload_date","verified_by","verified_at","revision_by","revision_at","revision_remark","filename","detail_url"
"19-Aug-26 5:30:32 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","ptsp","PTSP","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:30:32 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","redline","Redline","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:30:32 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","subfeeder_redline","Redline Subfeeder","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:30:32 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","rekomtek","Rekomtek","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:30:32 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - CW ATP","CLUSTER","CW ATP","-","tssr","TSSR","APPROVED","1","2026-08-06 12:35:13","moch.putro",,,,,"tssr_TRG000038_20260806123513_TSSR LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA.pdf","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:30:39 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - FULL OPM","CLUSTER","FULL OPM","-","opm_otdr_acceptance_test","OPM / OTDR ATP","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/full-opm?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:30:48 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - RFS","CLUSTER","RFS","-","build_of_quantity_as_built_drawing","ABD BoQ Cluster","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/rfs?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:30:48 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - RFS","CLUSTER","RFS","-","as_built_drawing_dwg","ABD Cluster DWG","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/rfs?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:30:48 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - RFS","CLUSTER","RFS","-","as_built_drawing_kmz","ABD Cluster KMZ","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/rfs?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:30:48 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - RFS","CLUSTER","RFS","-","build_of_quantity_as_plan_drawing","BoQ APD","APPROVED","1","2026-08-06 12:35:13","moch.putro",,,,,"build_of_quantity_as_plan_drawing_TRG000038_20260806123513_TRG000035  APD BOQ LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA.xlsx","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/rfs?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:30:48 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - RFS","CLUSTER","RFS","-","core_management","Core Management","ON REVIEW","1","2026-08-19 17:14:23",,,,,,"core_management_TRG000038_20260819171423_TRG000038  PRE ABD HPDB LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA.xlsx","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/rfs?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:30:48 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - RFS","CLUSTER","RFS","-","justifikasi_berita_acara_opname","Justifikasi Berita Acara Opname","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/rfs?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:30:48 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - RFS","CLUSTER","RFS","-","project_opname","Project Opname","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/rfs?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:30:48 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP CLUSTER - RFS","CLUSTER","RFS","-","subfeeder_project_opname","Project Opname Subfeeder","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/list/by-invoice-phase/rfs?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:31:19 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","PROJECT OPNAME - CLUSTER","CLUSTER","PROJECT OPNAME","","build_of_quantity_as_built_drawing","ABD BoQ Cluster","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/material/cluster/project-opname/review?cluster_code=TRG000038&work_order_number=WO/ALL/2026/DOCU/16/80219&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:31:19 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","PROJECT OPNAME - CLUSTER","CLUSTER","PROJECT OPNAME","","as_built_drawing_dwg","ABD Cluster DWG","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/material/cluster/project-opname/review?cluster_code=TRG000038&work_order_number=WO/ALL/2026/DOCU/16/80219&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:31:19 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","PROJECT OPNAME - CLUSTER","CLUSTER","PROJECT OPNAME","","as_built_drawing_kmz","ABD Cluster KMZ","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/material/cluster/project-opname/review?cluster_code=TRG000038&work_order_number=WO/ALL/2026/DOCU/16/80219&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:31:19 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","PROJECT OPNAME - CLUSTER","CLUSTER","PROJECT OPNAME","","build_of_quantity_as_plan_drawing","BoQ APD","APPROVED","1","2026-08-06 12:35:13","moch.putro",,,,,"build_of_quantity_as_plan_drawing_TRG000038_20260806123513_TRG000035  APD BOQ LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA.xlsx","https://astri.morarepublic.co.id/material/cluster/project-opname/review?cluster_code=TRG000038&work_order_number=WO/ALL/2026/DOCU/16/80219&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:31:19 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","PROJECT OPNAME - CLUSTER","CLUSTER","PROJECT OPNAME","","build_of_quantity_project_opname","BOQ Project Opname","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/material/cluster/project-opname/review?cluster_code=TRG000038&work_order_number=WO/ALL/2026/DOCU/16/80219&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:31:19 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","PROJECT OPNAME - CLUSTER","CLUSTER","PROJECT OPNAME","","justifikasi_berita_acara_opname","Justifikasi Berita Acara Opname","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/material/cluster/project-opname/review?cluster_code=TRG000038&work_order_number=WO/ALL/2026/DOCU/16/80219&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:31:19 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","PROJECT OPNAME - CLUSTER","CLUSTER","PROJECT OPNAME","","opm_otdr_acceptance_test","OPM / OTDR ATP","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/material/cluster/project-opname/review?cluster_code=TRG000038&work_order_number=WO/ALL/2026/DOCU/16/80219&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:31:19 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","PROJECT OPNAME - CLUSTER","CLUSTER","PROJECT OPNAME","","project_opname","Project Opname","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/material/cluster/project-opname/review?cluster_code=TRG000038&work_order_number=WO/ALL/2026/DOCU/16/80219&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:31:26 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP SUBFEEDER - CW ATP","SUBFEEDER","CW ATP","-","as_plan_drawing_core_management_subfeeder","APD Core Management Subfeeder","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:31:26 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP SUBFEEDER - CW ATP","SUBFEEDER","CW ATP","-","as_plan_drawing_subfeeder_dwg","APD Subfeeder dwg","ON REVIEW","1","2026-08-06 12:38:10",,,,,,"as_plan_drawing_subfeeder_dwg_TRG000038_20260806123810_TRG000035  APD DWG SUBFEEDER LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA.dwg","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:31:26 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP SUBFEEDER - CW ATP","SUBFEEDER","CW ATP","-","as_plan_drawing_subfeeder_kmz","APD Subfeeder kmz","ON REVIEW","2","2026-08-06 12:38:10",,,,,,"as_plan_drawing_subfeeder_kmz_TRG000038_20260806123810_TRG000038  APD KMZ SUBFEEDER LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA.kmz","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:31:26 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP SUBFEEDER - CW ATP","SUBFEEDER","CW ATP","-","permit_subfeeder","BA Permit Subfeeder","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:31:26 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP SUBFEEDER - CW ATP","SUBFEEDER","CW ATP","-","subfeeder_civil_work_acceptance_test","CW ATP Subfeeder","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:31:26 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP SUBFEEDER - CW ATP","SUBFEEDER","CW ATP","-","subfeeder_redline","Redline Subfeeder","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/cw-atp?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:31:35 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP SUBFEEDER - FULL OPM","SUBFEEDER","FULL OPM","-","subfeeder_opm_otdr_acceptance_test","OPM / OTDR Subfeeder","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/full-opm?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:31:41 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP SUBFEEDER - RFS","SUBFEEDER","RFS","-","as_built_drawing_core_management_subfeeder","ABD Core Management Subfeeder","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/rfs?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:31:41 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP SUBFEEDER - RFS","SUBFEEDER","RFS","-","as_build_drawing_subfeeder_dwg","ABD Subfeeder dwg","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/rfs?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
"19-Aug-26 5:31:41 PM","TRG000038","LOA IPUH RT 71 SAMPAI 75 KUTAI KARTANEGARA","WO/KUTAI KARTANEGARA/2026/INST/10/8313","ATP SUBFEEDER - RFS","SUBFEEDER","RFS","-","as_built_drawing_subfeeder_kmz","ABD Subfeeder kmz","NOT UPLOADED","0","","","","","","","","https://astri.morarepublic.co.id/rfs-document/subfeeder/list/by-invoice-phase/rfs?cluster_code=TRG000038&work_order_number=WO%2FKUTAI%20KARTANEGARA%2F2026%2FINST%2F10%2F8313&vendor_label=Technology%20Karya%20Mandiri"
